bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,7.714286,90.52381,0.108031,117,59.260063,6.013757,0.167343,0.501952
0,7.809524,92.333333,0.111239,118,58.739285,6.087826,0.170184,0.512131
0,7.809524,92.52381,0.111263,119,58.64786,6.087826,0.170725,0.512444
0,7.904762,94.761905,0.11641,120,57.68054,6.102762,0.172619,0.526914
0,8.095238,97.666667,0.122298,121,55.837994,6.380354,0.175866,0.546575
0,8.285714,97.666667,0.124004,120,55.223502,6.490133,0.174378,0.552671
0,8.285714,98.238095,0.124208,121,54.974061,6.614796,0.176001,0.553712
0,8.190476,98.238095,0.123244,122,56.692316,6.637832,0.176948,0.550002
0,8.285714,100.857143,0.127867,123,54.827255,7.102148,0.180736,0.564672
0,8.380952,100.857143,0.125906,124,54.21228,7.203733,0.18263,0.56371
0,8.47619,100.857143,0.125125,125,53.093409,7.363532,0.183442,0.565242
0,8.47619,101.571429,0.125335,126,52.774302,7.587809,0.185471,0.566573
0,8.380952,101.571429,0.124744,127,53.233406,7.507658,0.185877,0.564639
0,8.47619,102.952381,0.125966,128,52.128654,7.734329,0.189123,0.570017
0,8.47619,102.333333,0.126591,128,51.984957,7.84553,0.186688,0.570927
0,8.47619,102.47619,0.126095,129,51.885164,7.89028,0.1875,0.56998
0,8.380952,102.666667,0.125451,130,52.314082,7.808451,0.188582,0.56787
0,8.380952,102.857143,0.125458,131,52.233676,7.808451,0.189123,0.568188
0,8.285714,102.857143,0.125259,132,53.065433,7.76834,0.189259,0.567395
0,8.190476,102.857143,0.124446,133,53.518196,7.734342,0.19007,0.564538
0,8.190476,102.857143,0.123677,134,53.402364,7.734342,0.190882,0.562008
0,8.380952,103.333333,0.122454,135,52.883072,7.847763,0.193588,0.561026
0,9.047619,103.619048,0.129364,131,47.221431,8.357956,0.188312,0.577883
0,8.952381,103.619048,0.128768,132,47.462008,8.163163,0.188853,0.57546
0,9.047619,103.619048,0.127267,133,46.743139,8.199692,0.190206,0.574293
0,9.142857,104.047619,0.127874,134,45.460549,8.463148,0.191017,0.576995
0,9.333333,108.761905,0.141013,135,43.888192,8.653769,0.193858,0.607901
0,9.428571,108.761905,0.140723,136,43.631594,8.66746,0.194129,0.608034
0,9.52381,110.571429,0.145084,137,43.388901,8.793617,0.196158,0.619148
0,9.52381,110.571429,0.144313,138,43.274231,8.840644,0.19697,0.617446
0,9.619048,113.142857,0.151041,138,42.506134,8.786211,0.198593,0.638803
0,9.809524,115.47619,0.156046,139,41.383307,9.230907,0.201299,0.654177
0,9.809524,115.47619,0.155931,140,41.37076,9.230907,0.201434,0.653808
0,10.0,116.285714,0.158997,140,40.497779,9.490213,0.200893,0.665536
0,10.095238,117.238095,0.160795,141,39.914888,9.54428,0.202246,0.671934
0,10.285714,120.190476,0.170205,142,39.317793,9.944123,0.203057,0.694706
0,10.285714,120.190476,0.169721,143,39.304715,9.944123,0.203598,0.693316
0,10.285714,121.333333,0.17065,144,38.996582,10.047213,0.206845,0.694744
0,10.285714,121.333333,0.168701,145,38.885703,10.106758,0.20901,0.688297
0,10.380952,125.428571,0.1811,146,38.569578,10.225091,0.211445,0.709696
0,10.380952,125.761905,0.181164,147,38.409244,10.326082,0.212392,0.71023
0,10.47619,125.761905,0.180469,148,38.33658,10.355468,0.213203,0.714506
0,10.571429,126.571429,0.179397,149,37.61015,10.841318,0.216991,0.713825
0,10.857143,126.571429,0.182064,149,36.991693,10.894102,0.214556,0.723026
0,10.952381,127.047619,0.182552,150,36.56254,11.171261,0.215639,0.725158
0,10.857143,127.047619,0.180518,151,36.390015,11.367475,0.217668,0.720213
0,10.952381,127.047619,0.177547,152,35.802008,11.673074,0.220373,0.713313
0,11.047619,127.047619,0.176626,153,35.535212,11.904615,0.221185,0.711433
0,11.142857,127.047619,0.172122,154,35.038168,12.202531,0.225244,0.707173
0,11.238095,127.047619,0.171182,155,34.926191,12.239509,0.226055,0.705235
0,11.142857,127.047619,0.170787,156,35.270836,12.179318,0.226461,0.703987
0,11.142857,127.047619,0.168065,157,35.254723,12.196872,0.229167,0.698118
0,11.142857,127.047619,0.167333,158,35.522897,12.284422,0.229843,0.697079
0,11.047619,127.047619,0.166818,159,35.735347,12.225928,0.230249,0.695535
0,11.142857,127.047619,0.165266,160,35.272193,12.804189,0.231872,0.693932
0,11.619048,127.047619,0.173398,155,35.275203,12.633375,0.224702,0.711877
0,11.619048,127.047619,0.17327,156,35.270966,12.633375,0.224838,0.711343
0,11.809524,127.047619,0.171548,157,34.977801,12.858055,0.226461,0.709037
0,11.714286,127.047619,0.169412,158,34.995926,12.961135,0.228084,0.703201
0,11.809524,127.333333,0.168646,159,34.926257,13.120642,0.229708,0.703681
0,11.809524,128.095238,0.168991,160,34.824329,13.120642,0.231872,0.705215
0,12.095238,127.714286,0.175016,158,35.220862,13.130249,0.225379,0.722893
0,12.095238,128.571429,0.174572,159,35.011683,13.193106,0.228626,0.721756
0,12.095238,128.571429,0.174272,160,34.991772,13.255745,0.228896,0.720765
0,12.095238,128.571429,0.173904,161,34.694693,13.338051,0.229302,0.721578
0,12.0,128.571429,0.173606,162,34.713183,13.358599,0.229573,0.720479
0,11.904762,128.571429,0.173268,163,35.70289,13.266955,0.229843,0.719197
0,12.0,128.571429,0.17175,164,35.292731,13.328189,0.231466,0.715813
0,12.285714,128.571429,0.174749,163,34.893103,13.52072,0.228761,0.725698
0,12.380952,128.571429,0.172097,164,34.551553,13.668761,0.231196,0.721596
0,12.47619,128.571429,0.170079,165,34.340429,13.948318,0.23309,0.716163
0,12.47619,128.571429,0.169255,166,34.281351,14.011943,0.233902,0.713664
0,12.380952,128.571429,0.169035,167,35.257785,13.893035,0.234037,0.71287
0,12.380952,128.857143,0.169158,168,35.149265,13.953214,0.234848,0.713272
0,12.380952,128.857143,0.167893,169,35.084098,13.953214,0.236201,0.711178
0,12.095238,124.666667,0.153394,169,35.352743,13.797438,0.234848,0.681629
0,12.0,124.666667,0.151604,170,35.455786,13.696675,0.236201,0.67659
0,11.904762,124.666667,0.151103,171,38.29071,13.577053,0.236607,0.674786
0,12.0,124.666667,0.150549,172,38.047977,13.723396,0.237148,0.675161
0,12.190476,127.142857,0.15657,173,37.49776,14.291401,0.239989,0.690608
0,12.190476,127.142857,0.156027,174,37.463411,14.419828,0.24053,0.688702
0,12.190476,127.809524,0.156338,175,37.377387,14.419828,0.242424,0.689989
0,12.095238,127.809524,0.159262,174,37.626,14.413401,0.24026,0.697139
0,12.095238,127.809524,0.158713,175,37.601911,14.479151,0.240801,0.695055
0,12.285714,130.809524,0.16818,176,37.014936,14.694902,0.242018,0.717494
0,12.380952,130.809524,0.167907,177,36.996558,14.902282,0.242289,0.720827
0,12.666667,131.619048,0.173637,176,35.271628,15.458338,0.240124,0.737554
0,12.666667,131.619048,0.173016,177,35.225705,15.458338,0.240801,0.735779
0,12.666667,131.761905,0.172681,178,35.170977,15.525746,0.241613,0.735015
0,12.571429,131.761905,0.17184,179,35.294414,15.493077,0.242424,0.73198
0,12.571429,131.809524,0.171713,180,35.26239,15.493077,0.242695,0.731526
0,12.666667,131.809524,0.17025,181,34.52924,15.784859,0.244048,0.728412
0,12.857143,133.47619,0.1741,182,34.364044,15.946136,0.246483,0.738742
0,12.761905,133.47619,0.172911,183,34.381134,15.951273,0.247565,0.734646
0,12.714286,133.714286,0.173777,181,34.328811,15.371253,0.247159,0.733258
0,12.904762,133.714286,0.171361,182,33.78951,15.664154,0.249188,0.729186
0,13.0,133.714286,0.169575,183,33.678441,15.704767,0.250541,0.726237
0,13.095238,133.714286,0.171911,180,31.437091,15.635586,0.248377,0.731928
0,13.190476,133.714286,0.170777,181,30.740293,15.66065,0.249729,0.737733
0,13.190476,133.714286,0.169327,182,30.650639,15.66065,0.250947,0.732844
0,13.285714,133.714286,0.167365,183,30.321017,15.750169,0.253111,0.729585
0,13.380952,134.428571,0.168781,184,29.998961,15.798229,0.254194,0.734193
0,13.380952,134.428571,0.168179,185,29.960093,15.798229,0.25487,0.732875
0,13.47619,136.095238,0.171029,186,29.558091,16.389574,0.258117,0.739993
