72,8,0,23.581,228.023,0.45,404,12.898,342.142,0.355,0.152
73,8,0,23.791,228.023,0.451,405,12.829,340.926,0.354,0.157
74,8,0,23.814,228.023,0.448,408,12.616,343.714,0.357,0.164
75,3,0,23.814,231.419,0.46,407,12.728,341.951,0.357,0.163
76,9,0,24.326,234.651,0.468,414,12.274,354.629,0.365,0.202
77,6,0,24.558,236.674,0.474,416,11.771,361.786,0.367,0.217
78,6,0,24.767,239.047,0.48,417,11.513,368.91,0.371,0.238
79,7,0,24.884,243.465,0.501,417,11.586,376.309,0.373,0.25
80,10,0,25.488,247.698,0.518,423,11.0,395.136,0.379,0.303
81,10,0,25.721,251.605,0.529,430,10.871,398.49,0.386,0.338
82,7,0,26.0,251.605,0.531,427,10.619,401.336,0.383,0.347
83,11,0,26.14,256.535,0.554,433,10.575,416.183,0.389,0.376
84,5,0,26.628,256.674,0.558,431,10.742,419.449,0.384,0.397
85,8,0,26.581,262.209,0.577,435,10.49,421.676,0.388,0.404
86,6,0,27.093,262.209,0.575,436,10.492,439.372,0.393,0.462
87,8,0,27.326,267.605,0.59,439,10.291,444.369,0.398,0.499
88,13,0,27.233,270.744,0.607,445,10.241,449.451,0.399,0.495
89,5,0,27.163,270.744,0.61,444,10.424,436.355,0.395,0.477
90,8,0,27.116,270.907,0.61,447,10.316,437.664,0.399,0.487
91,11,0,27.837,274.256,0.621,451,9.93,447.392,0.401,0.545
92,5,0,28.14,276.791,0.633,446,9.957,447.343,0.396,0.552
93,6,0,27.953,277.349,0.637,447,10.013,442.791,0.393,0.528
94,6,0,28.233,282.349,0.662,446,10.267,446.025,0.396,0.561
95,7,0,28.419,285.419,0.67,448,10.153,450.318,0.399,0.586
96,13,0,28.93,291.419,0.68,457,9.656,470.859,0.413,0.667
97,4,0,28.837,293.023,0.688,455,9.764,464.368,0.411,0.654
98,7,0,28.465,290.372,0.68,457,9.719,459.699,0.41,0.625
99,11,0,28.419,290.953,0.679,462,9.64,468.546,0.415,0.637
100,6,0,28.395,294.767,0.687,457,9.683,469.122,0.415,0.634
101,11,0,28.395,296.767,0.684,466,9.303,481.482,0.424,0.663
102,12,0,28.767,302.163,0.697,477,8.79,520.044,0.441,0.738
103,7,0,29.093,303.512,0.702,474,8.761,525.442,0.438,0.747
104,5,0,29.465,304.535,0.703,474,8.695,531.696,0.437,0.767
105,10,0,29.628,309.047,0.709,481,8.653,537.149,0.442,0.787
106,8,0,27.023,317.721,0.693,484,11.944,484.704,0.438,0.632
107,4,0,27.372,317.721,0.697,482,11.857,493.429,0.437,0.654
108,13,1,27.233,312.442,0.684,487,14.808,488.708,0.436,0.663
109,5,0,26.791,312.442,0.685,486,14.992,472.103,0.432,0.618
110,9,0,26.721,312.302,0.685,489,19.853,484.52,0.439,0.676
111,10,1,26.814,312.302,0.682,494,19.707,494.319,0.446,0.701
112,6,0,26.86,312.302,0.681,489,19.749,489.835,0.442,0.694
113,6,0,27.0,312.419,0.68,490,19.38,493.375,0.444,0.706
114,5,0,27.14,316.256,0.681,492,19.132,499.225,0.448,0.723
115,9,0,27.326,316.256,0.681,498,18.965,504.82,0.451,0.744
116,7,0,27.744,317.419,0.697,497,18.907,513.308,0.451,0.767
117,6,1,27.977,320.442,0.705,497,18.744,521.007,0.454,0.786
118,10,0,20.698,310.465,0.655,503,28.334,381.561,0.452,0.336
119,10,0,21.302,310.674,0.658,507,28.133,395.69,0.457,0.394
120,5,0,21.791,311.349,0.659,506,28.089,407.25,0.455,0.427
121,8,0,22.302,311.349,0.662,512,27.681,423.778,0.461,0.485
122,7,0,23.465,312.488,0.681,509,27.156,440.946,0.459,0.561
123,5,0,23.884,312.605,0.688,506,27.031,446.16,0.456,0.583
124,13,0,24.535,314.163,0.697,514,26.709,466.915,0.462,0.65
125,8,2,24.674,314.791,0.701,514,26.595,466.728,0.465,0.667
126,9,0,24.953,318.744,0.703,518,26.417,464.207,0.466,0.689
127,4,0,25.372,318.047,0.706,513,26.517,466.128,0.459,0.696
128,5,0,25.419,319.698,0.709,513,26.557,469.872,0.461,0.703
129,13,3,25.651,319.698,0.706,516,26.342,480.457,0.464,0.727
130,5,1,25.674,318.395,0.709,512,26.357,478.921,0.462,0.723
131,8,1,25.907,317.209,0.705,513,26.281,485.559,0.464,0.741
132,7,0,26.233,319.07,0.707,515,26.125,491.37,0.467,0.767
133,7,0,26.163,319.07,0.71,518,26.074,498.68,0.469,0.769
134,8,0,26.116,319.07,0.709,525,25.983,500.165,0.472,0.773
135,7,1,26.605,319.07,0.712,526,25.89,504.863,0.468,0.79
136,8,0,27.233,322.372,0.709,529,25.743,518.374,0.471,0.826
137,8,0,27.651,322.558,0.715,532,25.057,527.201,0.475,0.848
138,9,0,28.279,323.86,0.73,535,24.925,549.131,0.48,0.88
